source,co2_level,location,timestamp
Agriculture,456,Timor-Leste,2024-04-28 16:10:50
Factory,316,Cyprus,2024-04-28 16:10:53
Shipping,338,Cook Islands,2024-04-28 16:10:56
Agriculture,919,Chad,2024-04-28 16:10:59
Power Plant,888,Belize,2024-04-28 16:11:02
Factory,447,Niger,2024-04-28 16:11:05
Power Plant,410,Bosnia and Herzegovina,2024-04-29 00:14:54
Power Plant,867,Cuba,2024-04-29 00:14:57
Shipping,563,Mongolia,2024-04-29 00:14:59
Agriculture,396,Nicaragua,2024-04-29 00:15:02
Deforestation,337,Solomon Islands,2024-04-29 00:15:05
Deforestation,845,Tajikistan,2024-04-29 00:15:08
Vehicle,836,Bahrain,2024-04-29 00:15:11
Shipping,383,Western Sahara,2024-04-29 00:15:14
Shipping,469,Dominican Republic,2024-04-29 00:15:17
Vehicle,343,Jamaica,2024-04-29 00:15:20
Deforestation,805,Nigeria,2024-04-29 00:15:23
Power Plant,837,New Zealand,2024-04-29 00:15:26
Agriculture,515,Russian Federation,2024-04-29 00:15:29
Deforestation,436,Netherlands Antilles,2024-04-29 00:15:41
Power Plant,757,Costa Rica,2024-04-29 00:15:44
Vehicle,866,Saint Martin,2024-04-29 00:15:47
Factory,548,Saint Vincent and the Grenadines,2024-04-29 00:15:50
Deforestation,493,Bouvet Island (Bouvetoya),2024-04-29 00:15:53
Vehicle,790,South Africa,2024-04-29 00:15:56
Construction,960,New Zealand,2024-04-29 00:15:59
Construction,625,Brunei Darussalam,2024-04-29 00:16:02
Vehicle,706,Somalia,2024-04-29 00:16:05
Factory,815,Saint Lucia,2024-04-29 00:16:08
Agriculture,566,San Marino,2024-04-29 00:16:11
Shipping,440,Azerbaijan,2024-04-29 00:16:14
Vehicle,427,Mali,2024-04-29 00:16:17
Agriculture,377,Falkland Islands (Malvinas),2024-04-29 00:16:20
Power Plant,924,Ethiopia,2024-04-29 00:16:23
Construction,977,Aruba,2024-04-29 00:16:26
Power Plant,656,Switzerland,2024-04-29 00:16:29
Power Plant,568,Korea,2024-04-29 00:16:32
Deforestation,343,Estonia,2024-04-29 00:16:35
Construction,742,Kazakhstan,2024-04-29 00:16:38
Vehicle,505,Cook Islands,2024-04-29 00:16:41
Shipping,398,Greenland,2024-04-29 00:16:44
Agriculture,419,Costa Rica,2024-04-29 00:16:47
Agriculture,593,Guernsey,2024-04-29 00:16:50
Power Plant,942,Lao People's Democratic Republic,2024-04-29 00:16:53
Shipping,351,Turkmenistan,2024-04-29 00:16:56
Agriculture,684,Canada,2024-04-29 00:16:59
Power Plant,442,Nepal,2024-04-29 00:17:02
Shipping,873,United States Minor Outlying Islands,2024-04-29 00:17:05
Factory,930,Cape Verde,2024-04-29 00:17:08
Deforestation,431,Ethiopia,2024-04-29 00:17:11
Factory,908,Greece,2024-04-29 00:17:14
Vehicle,550,Turkmenistan,2024-04-29 00:17:17
Factory,968,American Samoa,2024-04-29 00:17:20
Agriculture,811,Burundi,2024-04-29 00:17:23
Factory,730,Ukraine,2024-04-29 00:17:26
Deforestation,841,Bolivia,2024-04-29 00:17:29
Factory,342,Slovenia,2024-04-29 00:17:32
Shipping,309,Syrian Arab Republic,2024-04-29 00:17:35
Vehicle,523,Nepal,2024-04-29 00:17:38
Shipping,304,Cook Islands,2024-04-29 00:17:41
Shipping,930,Venezuela,2024-04-29 00:17:44
Deforestation,424,Tuvalu,2024-04-29 00:17:47
Deforestation,930,Gibraltar,2024-04-29 00:17:50
Power Plant,777,Peru,2024-04-29 00:17:53
Vehicle,822,French Polynesia,2024-04-29 00:17:56
Factory,310,Isle of Man,2024-04-29 00:17:59
Factory,766,Tanzania,2024-04-29 00:18:02
Construction,606,Cocos (Keeling) Islands,2024-04-29 00:18:05
Vehicle,772,Ukraine,2024-04-29 00:18:08
Deforestation,881,United States of America,2024-04-29 00:18:11
Deforestation,694,Gambia,2024-04-29 00:18:14
Agriculture,877,American Samoa,2024-04-29 00:18:17
